stname,Female,Male,18-29,30-44,45-64,65+,Bachelors,LTC,Post-grad,Black,Other,White,Republican,Democrat,Independent,Something else,percent_christian,percent_non_christian
NE,0.502522704,0.497477296,0.154389506,0.242179617,0.36024218,0.243188698,0.231079717,0.641775984,0.127144299,0.032291616,0.022200798,0.945510586,0.411585366,0.25,0.307926829,0.030487805,0.75,0.25
NH,0.526411658,0.473588342,0.136004857,0.190042502,0.466909532,0.207043109,0.248937462,0.617486339,0.133576199,0.005465481,0.016394443,0.978143077,0.281407035,0.301507538,0.366834171,0.050251256,0.59,0.41
NJ,0.545121056,0.454878944,0.136463683,0.209831255,0.404255319,0.249449743,0.257520176,0.584739545,0.157740279,0.096112519,0.062363436,0.841527045,0.266817838,0.386999244,0.28042328,0.065759637,0.67,0.33
NM,0.547920434,0.452079566,0.162748644,0.206148282,0.432188065,0.198915009,0.215189873,0.605786618,0.179023508,0.012659228,0.066908776,0.920434996,0.279166667,0.333333333,0.308333333,0.079166667,0.75,0.25
NV,0.505166475,0.494833525,0.184845006,0.241102181,0.343283582,0.230769231,0.190585534,0.710677382,0.098737084,0.079220288,0.090701344,0.830081367,0.297592998,0.374179431,0.269146608,0.059080963,0.66,0.34
NY,0.547822851,0.452177149,0.159285448,0.226646818,0.385932266,0.228135467,0.227391143,0.614067734,0.158541124,0.152587528,0.050615068,0.796800405,0.247081712,0.450389105,0.241245136,0.061284047,0.6,0.4
OH,0.542257218,0.457742782,0.167454068,0.222572178,0.383727034,0.226246719,0.179527559,0.737007874,0.083464567,0.119686039,0.02152331,0.858793651,0.306728538,0.355452436,0.282134571,0.055684455,0.73,0.27
OK,0.544836957,0.455163043,0.127717391,0.21875,0.419836957,0.233695652,0.211956522,0.675271739,0.112771739,0.051631435,0.158968391,0.789403174,0.401754386,0.333333333,0.214035088,0.050877193,0.79,0.21
OR,0.535120148,0.464879852,0.152495379,0.242144177,0.355822551,0.249537893,0.21349353,0.65064695,0.135859519,0.01663686,0.063771795,0.919594346,0.271428571,0.345454545,0.3,0.083116883,0.61,0.39
PA,0.52298589,0.47701411,0.155666818,0.24260355,0.382339554,0.219390077,0.207100592,0.671825216,0.121074192,0.084661901,0.021393808,0.89394729,0.330867242,0.410604192,0.214138923,0.044389642,0.73,0.27
RI,0.550290939,0.449709061,0.14879468,0.239401496,0.386533666,0.225270158,0.221945137,0.63840399,0.139650873,0.054032588,0.029094932,0.91687548,0.224358974,0.288461538,0.391025641,0.096153846,0.75,0.25
SC,0.551619433,0.448380567,0.145748988,0.234817814,0.402834008,0.21659919,0.200404858,0.70242915,0.097165992,0.308705453,0.01417104,0.677126506,0.413892909,0.266280753,0.264833575,0.054992764,0.78,0.22
SD,0.520033389,0.479966611,0.168614357,0.23706177,0.355592654,0.238731219,0.186143573,0.724540902,0.089315526,0.008348245,0.079299831,0.912354923,0.295454545,0.284090909,0.340909091,0.079545455,0.79,0.21
TN,0.556277056,0.443722944,0.148268398,0.217532468,0.356060606,0.278138528,0.199134199,0.691558442,0.109307359,0.128788879,0.022728273,0.848485848,0.36072572,0.321237994,0.244397012,0.073639274,0.81,0.19
TX,0.538664034,0.461335966,0.160579138,0.256992432,0.36952945,0.21289898,0.212240869,0.693649227,0.094109905,0.139849634,0.043436341,0.816717025,0.377083333,0.292361111,0.262847222,0.067708333,0.77,0.23
UT,0.510460251,0.489539749,0.188284519,0.283124128,0.341701534,0.186889819,0.242677824,0.645746165,0.111576011,0.008369201,0.029289703,0.962344096,0.453514739,0.199546485,0.267573696,0.079365079,0.73,0.27
VA,0.543870968,0.456129032,0.147096774,0.26,0.38,0.212903226,0.243225806,0.603225806,0.153548387,0.170968742,0.047742935,0.781291323,0.304980843,0.365517241,0.268965517,0.060536398,0.73,0.27
VT,0.539944904,0.460055096,0.126721763,0.201101928,0.439853076,0.232323232,0.243342516,0.610651974,0.14600551,0.003674095,0.03030403,0.966024875,0.121212121,0.434343434,0.383838384,0.060606061,0.54,0.46
WA,0.547124601,0.452875399,0.149361022,0.257188498,0.345047923,0.248402556,0.252396166,0.612619808,0.134984026,0.032748604,0.10942592,0.857828476,0.224820144,0.384892086,0.283273381,0.107014388,0.61,0.39
WI,0.530888031,0.469111969,0.127413127,0.216216216,0.394465894,0.261904762,0.232303732,0.673745174,0.093951094,0.037324037,0.026384526,0.936294436,0.290710383,0.328961749,0.296174863,0.084153005,0.71,0.29
WV,0.529769137,0.470230863,0.114216282,0.223572296,0.34872418,0.313487242,0.14945322,0.770352369,0.080194411,0.025517403,0.009721535,0.964764062,0.268765133,0.377723971,0.309927361,0.043583535,0.78,0.22
WY,0.516666667,0.483333333,0.14047619,0.251190476,0.379761905,0.228571429,0.180952381,0.738095238,0.080952381,0.005953381,0.021429571,0.972620048,0.534482759,0.155172414,0.224137931,0.086206897,0.71,0.29
